year,plotid,tot_veg_cover,TOT_cover,TOT_ht_m,DT_cover,DT_ht_m,TOV_cover,TOV_ht_m,TSA_cover,TSA_ht_m,TSE_cover,TSE_ht_m,SH_cover,SH_ht_m,DS_cover,DS_ht_m,ST_cover,ST_ht_m,SM_cover,SM_ht_m,SL_cover,SL_ht_m,TOF_cover,TOF_ht_m,TOG_cover,TOG_ht_m
2019,VR33,99,96,20,0.5,10.8,94.5,20,0.5,0.97,na,na,1,-,0,na,0,na,0.5,0.65,0.5,0.4,1,0.5,1,0.3
2019,VR33N,81.5,80,5.9,0,na,79.5,5.9,0,na,na,na,0.5,0.56,0,na,0,na,0.5,1.2,0.5,0.43,0.5,0.67,0.5,0.56
2019,VR34,99,50,30,2,16.2,47.5,16.2,0.5,1.65,na,na,1,-,0,na,0,na,0.5,0.53,0.5,0.37,35,1.3,50,1.2
2019,VR35,70,43,19,0.5,18,45,19,0,na,na,na,1,0.4,0,na,0,na,0.5,0.5,0.5,0.4,23,5,6,0.2
2019,VR35N,98,93,27.2,0,na,93,27.2,2,0.35,na,na,1,0.3,0,na,0,na,0,na,1,0.3,85,0.2,4,0.6
2019,VR3N ,99,70,28,2,29,69,28,0.5,0.9,na,na,1,0.3,0,na,0,na,0,na,1,0.3,2,0.2,3,0.9
2019,VR4,98,96,25.2,0,29,96,25.2,0.5,1.7,na,na,7,-,0.5,1.5,0,na,39.5,1,30,0.5,1,0.45,3,0.25
2019,VR40,80,70,28.4,0.5,11.6,67,28.4,3,1.5,na,na,5,-,1,0.85,0,na,2,0.9,2,0.45,1,0.15,1,0.35
2019,VR40E,97,55,17.9,0.5,0,54,17.8,0.5,0.75,na,na,35,-,1,0.62,0,na,2,0.7,32,0.48,3,0.49,5,0.52
2019,VR43,98,70,19.8,3,18,65,19.8,2,1.6,na,na,20,-,0,na,0,na,15,0.82,5,0.47,60,0.25,10,0.3
2019,VR44,99,90,19.2,1,0,88,19.2,1,0.73,na,na,3,-,0,na,0,na,2,0.65,1,0.4,3,0.3,20,0.8
