plotid,status,species,BAG,#,
VR33,LIVE,PICO,40,3,
VR33,LIVE,ABCO,40,7,
VR33,LIVE,ABMA,40,1,
VR24N,LIVE,ABCO,40,4,
VR24N,LIVE,PICO,40,1,
VR24N,LIVE,ABMA,40,1,
VR44,LIVE,POTR,20,3,
VR44,DEAD,PICO,20,1,
VR44,LIVE,PICO,20,2,
VR44,LIVE,ABCO,20,3,
VR44,DEAD,POTR,20,1,
VR43,DEAD,PICO,40,1,
VR43,LIVE,POTR,40,2,
VR43,LIVE,ABCO,40,4,
VR43,LIVE,PICO,40,1,
VR33N,LIVE,POTR,20,2,
VR33N,LIVE,PICO,20,3,
VR33N,LIVE,ABCO,20,1,
VR33N,LIVE,ALNINC,20,1,
VR26,LIVE,PICO,20,4,
VR26,LIVE,ABCO,20,2,
VR16N,LIVE,PICO,40,7,
VR16N,LIVE,ABCO,40,4,
VR16N,LIVE,ABMA,40,1,
VR34,LIVE,PICO,40,3,
VR34,LIVE,ABCO,40,3,
VR25N,LIVE,ABCO,40,9,
VR25N,LIVE,PICO,40,4,
VR25N,LIVE,ABMA,40,1,
VR25N,LIVE,PIJE,40,1,
VR25,LIVE,ABCO,40,8,
VR25,LIVE,PICO,40,4,
VR25,DEAD,ABCO,40,1,
VR35N,LIVE,PICO,40,3,
VR35N,LIVE,ABCO,40,4,
VR35N,DEAD,POTR,40,1,
VR35,LIVE,PIJE,40,1,
VR35,LIVE,ABCO,40,1,
VR35,LIVE,PICO,40,4,
VR26N,DEAD,PIJE,40,1,
VR26N,LIVE,ABCO,40,2,
VR26N,LIVE,PICO,40,1,
VR26S,LIVE,ABCO,20,5,
VR16,LIVE,PIJE,40,3,
VR16,LIVE,ABCO,40,3,
VR25S,LIVE,PICO,20,1,
VR25S,LIVE,ABCO,20,5,
VR25S,LIVE,PIJE,20,1,
VR25S,DEAD,PIJE,20,1,
VR24,LIVE,ABCO,40,3,
VR24,LIVE,ABMA,40,1,
VR24,DEAD,ABCO,40,1,
VR24,DEAD,UNK,40,1,
VR30N,LIVE,ABCO,20,2,
VR30N,LIVE,PICO,20,2,
VR30N,DEAD,ABMA,20,7,
VR30N,LIVE,ABMA,20,2,
VR30N,LIVE,PIJE,20,1,
VR30,LIVE,ABMA,20,6,
VR30,LIVE,PIJE,20,2,
VR30,DEAD,PIJE,20,1,
VR21,LIVE,ABCO,20,1,
VR21,LIVE,ABMA,20,1,
VR21,DEAD,ABMA,20,1,
VR21,LIVE,PICO,20,1,
VR12N,LIVE,ABMA,40,5,
VR12,LIVE,ABCO,40,6,
VR12,LIVE,ABMA,40,3,
VR40E,LIVE,ABMA,40,3,
VR40E,LIVE,ABCO,40,5,
VR40E,LIVE,PIJE,40,1,
VR40,LIVE,ABCO,40,3,
VR40,LIVE,ABMA,40,1,
VR40,DEAD,PIJE,40,1,
VR40,LIVE,PIJE,40,1,
VR4N,LIVE,ABCO,40,5,
VR4N,LIVE,PICO,40,1,
VR4,LIVE,ABCO,40,3,
VR4,LIVE,POTR,40,1,
VR4,DEAD,ABCO,40,1,
VR13,LIVE,ABCO,40,3,
VR13,LIVE,PICO,40,2,
VR13,DEAD,PICO,40,1,
VR13N,LIVE,PICO,40,1,
VR13N,LIVE,ABCO,40,2,
VR13N,DEAD,PIJE,40,1,not rooted?
VR22,LIVE,ABMA,40,5,
VR22,LIVE,ABCO,40,1,
VR22,DEAD,ABMA,40,1,
VR31N,LIVE,ABMA,40,1,
VR31N,LIVE,PICO,40,3,
VR31N,LIVE,PIJE,40,1,
VR31N,LIVE,ABCO,40,1,
VR31N,DEAD,ABCO,40,1,
VR31,LIVE,ABCO,40,3,
VR31,LIVE,PICO,40,2,
VR20N,LIVE,ABMA,40,3,
VR20N,LIVE,PICO,40,2,
VR20N,LIVE,PIJE,40,1,
VR20N,DEAD,ABMA,40,2,
VR29,DEAD,PICO,40,2,
VR29,LIVE,ABMA,40,7,
VR29,LIVE,PICO,40,1,
VR29,DEAD,ABMA,40,2,
VR22N,LIVE,PICO,20,6,
VR22N,DEAD,PICO,20,4,
VR22N,DEAD,ABMA,20,1,
